TABLE,COLUMN
COBK,VALDT
COBRB,MANDT
COBRB,OBJNR
COBRB,BUREG
COBRB,LFDNR
COBRB,PERBZ
COBRB,URZUO
COBRB,GABJA
COBRB,GABPE
COBRB,GBISJ
COBRB,GBISP
COBRB,PROZS
COBRB,AQZIF
COBRB,BMENG
COBRB,BEINH
COBRB,BETRR
COBRB,BWAER
COBRB,BRTYP
COBRB,BREST
COBRB,ERSJA
COBRB,ERSPE
COBRB,LETJA
COBRB,LETPE
COBRB,ZINCL
COBRB,DFREG
COBRB,AVORG
COBRB,VERSN
COBRB,KONTY
COBRB,KOKRS
COBRB,WERKS
COBRB,GSBER
COBRB,BUKRS
COBRB,HKONT
COBRB,PRCTR
COBRB,KOSTL
COBRB,AUFNR
COBRB,PS_PSP_PNR
COBRB,ANLN1
COBRB,ANLN2
COBRB,MATNR
COBRB,BWTAR
COBRB,NPLNR
COBRB,AUFPL
COBRB,APLZL
COBRB,PAOBJNR
COBRB,PASUBNR
COBRB,KDAUF
COBRB,KDPOS
COBRB,RECID
COBRB,RIFIND
COBRB,POSNR
COBRB,KSTRG
COBRB,PRZNR
COBRB,REC_OBJNR1
COBRB,REC_OBJNR2
COBRB,MRULE
COBRB,EXTNR
COBRB,STRAT
COBRB,ANBWA
COBRB,SRSTRAT
COBRB,ZZ_OBETRR
COBRB,ZZ_OWAER
CRCO,MANDT
CRCO,OBJTY
CRCO,OBJID
CRCO,LASET
CRCO,ENDDA
CRCO,LANUM
CRCO,BEGDA
CRCO,AEDAT_KOST
CRCO,AENAM_KOST
CRCO,KOKRS
CRCO,KOSTL
CRCO,LSTAR
CRCO,LSTAR_REF
CRCO,FORML
CRCO,PRZ
CRCO,ACTXY
CRCO,ACTXK
CRCO,LEINH
CRCO,BDE
CRCO,SAKL
CRHD,MANDT
CRHD,OBJTY
CRHD,OBJID
CRHD,BEGDA
CRHD,ENDDA
CRHD,AEDAT_GRND
CRHD,AENAM_GRND
CRHD,AEDAT_VORA
CRHD,AENAM_VORA
CRHD,AEDAT_TERM
CRHD,AENAM_TERM
CRHD,AEDAT_TECH
CRHD,AENAM_TECH
CRHD,ARBPL
CRHD,WERKS
CRHD,VERWE
CRHD,LVORM
CRHD,PAR01
CRHD,PAR02
CRHD,PAR03
CRHD,PAR04
CRHD,PAR05
CRHD,PAR06
CRHD,PARU1
CRHD,PARU2
CRHD,PARU3
CRHD,PARU4
